"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P10";"IDC_02X20_2.54mm_Horizontal_PCB_2SIDES";1;"Conn_02x20_Odd_Even";;;
2;"XT1";"Crystal_HC49-4H_Vertical_3D";1;"8Mhz";;;
3;"SW1";"SW_SPST_FSMSM_3D";1;"SW_PUSH";;;
4;"P12";"USB_Micro-B_Large_Pads";1;"USB_OTG";;;
5;"J1";"IDC-Header_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
6;"U1";"SOT-223";1;"AZ1117-3.3";;;
7;"C7,C8";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"2.2u";;;
8;"C21,C11,C12,C13,C14,C15,C16,C17,C18,C19,C9,C26,C25,C24,C23,C22,C20";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";17;"100n";;;
9;"C6,C5";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"20p";;;
10;"C10";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1u";;;
11;"C3,C4,C27";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";3;"100n";;;
12;"C2";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"22u";;;
13;"C1";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"10u";;;
14;"BOOT0_MEM1,BOOT1_MEM1";"PinHeader_1x02_P2.54mm_Vertical";2;"CONN_01X02";;;
15;"DEBUG1,P11";"PinHeader_1x03_P2.54mm_Vertical";2;"CONN_01X03";;;
16;"SWDIO/CLK1";"PinHeader_1x04_P2.54mm_Horizontal";1;"CONN_01X04";;;
17;"P2";"PinSocket_1x06_P2.54mm_Vertical";1;"Analog";;;
18;"P1";"PinSocket_1x08_P2.54mm_Vertical";1;"Power";;;
19;"P4";"PinSocket_1x08_P2.54mm_Vertical";1;"Digital";;;
20;"P3";"PinSocket_1x10_P2.54mm_Vertical";1;"Digital";;;
21;"D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED.GREEN";;;
22;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
23;"U2";"LQFP-176_24x24mm_P0.5mm";1;"STM32F429IGTx";;;
24;"R9,R5,R8,R11";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"10K";;;
25;"R4";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"220";;;
26;"R6,R10";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"510";;;
27;"R7,R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"0";;;
28;"R12,R13";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"4.7K";;;
29;"R14";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"330";;;
30;"R2";"R_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"22K";;;
31;"R1";"R_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"1.5K";;;
32;"W1";"TestPoint_Pad_D2.0mm";1;"TP1";;;
33;"P5,P6,P7,P8,P9";"MountingHole";5;"CONN_1";;;
